"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.092,0.514,0.03,-0.99,0.14,-0.02
"ClusIPW",0.141,0.118,-0.69,0.31,-0.41,-0.51
"addIPW",0.198,0.5,0.45,0,0,-0.89
"Oracle",0.207,0.275,0,-0.11,0.08,-0.99
