"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.096,0.506,0.04,-0.9,0.32,-0.3
"ClusIPW",0.086,0.336,-0.56,0.69,-0.26,-0.38
"addIPW",0.197,0.5,0.45,0,0,-0.89
"Oracle",0.208,0.276,0,-0.1,0.08,-0.99
