"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.089,0.547,0.12,-0.81,0.54,-0.21
"ClusIPW",0.153,0.029,-0.9,-0.2,-0.35,-0.16
"addIPW",0.11,0.365,-0.48,0.02,0.87,-0.14
"Oracle",0.199,0.279,0,-0.16,0.08,-0.98
