"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.087,0.522,-0.17,-0.83,0.51,0.13
"ClusIPW",0.095,0.493,0.04,-0.99,-0.11,-0.04
"addIPW",0.197,0.497,0.45,0,0,-0.89
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
