"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.065,0.493,-0.47,-0.48,0.19,0.71
"ClusIPW",0.086,0.325,-0.57,0.66,-0.44,-0.23
"addIPW",0.159,0,-1,0,0,0
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
