"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.101,0.506,0.49,-0.55,-0.38,-0.56
"ClusIPW",0.159,0,-0.74,0.09,-0.32,-0.58
"addIPW",0.173,0.177,0.29,-0.04,-0.84,-0.45
"Oracle",0.199,0.402,0.09,-0.07,0.18,-0.98
