"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.083,0.468,-0.58,-0.48,0.56,0.35
"ClusIPW",0.143,0.117,-0.73,-0.31,-0.3,-0.53
"addIPW",0.157,0,-1,0,0,0
"Oracle",0.202,0.349,-0.01,-0.02,0.08,-1
