"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.107,0.433,-0.32,-0.84,0.18,-0.39
"ClusIPW",0.059,0.44,-0.27,0.94,-0.16,-0.16
"addIPW",0.12,0.202,-0.8,0.39,0.07,-0.44
"Oracle",0.204,0.254,-0.03,-0.13,0.05,-0.99
