"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.09,0.487,-0.46,-0.59,0.63,0.18
"ClusIPW",0.156,0.062,-0.69,0.21,-0.15,-0.68
"addIPW",0.197,0.498,0.45,0,0,-0.89
"Oracle",0.206,0.27,-0.01,-0.11,0.08,-0.99
