"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.055,0.596,-0.31,-0.39,0.69,0.52
"ClusIPW",0.074,0.367,-0.54,0.74,-0.39,-0.06
"addIPW",0.093,0.476,0.49,-0.03,-0.85,-0.17
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
