"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.095,0.48,-0.45,-0.61,0.65,0.05
"ClusIPW",0.054,0.469,-0.22,0.96,0.12,-0.13
"addIPW",0.092,0.462,-0.43,-0.02,0.9,-0.11
"Oracle",0.198,0.278,0,-0.16,0.08,-0.98
