"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.061,0.592,-0.27,-0.44,0.74,0.43
"ClusIPW",0.068,0.417,-0.23,0.84,-0.15,-0.47
"addIPW",0.133,0.557,0.53,-0.15,-0.02,-0.84
"Oracle",0.207,0.266,-0.01,-0.09,0.07,-0.99
