"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.109,0.434,-0.22,-0.83,0.09,-0.5
"ClusIPW",0.092,0.317,-0.62,0.65,-0.22,-0.38
"addIPW",0.199,0.498,0.45,0,0,-0.89
"Oracle",0.206,0.278,0,-0.1,0.08,-0.99
