"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.052,0.643,-0.33,-0.16,0.92,0.15
"ClusIPW",0.081,0.35,-0.51,0.72,-0.28,-0.37
"addIPW",0.179,0.481,0.4,0.11,0.02,-0.91
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
