"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.077,0.542,0.12,-0.92,-0.06,0.38
"ClusIPW",0.057,0.449,-0.25,0.95,-0.1,-0.15
"addIPW",0.088,0.398,0.41,0.22,-0.78,-0.41
"Oracle",0.198,0.279,0,-0.16,0.08,-0.98
