"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.099,0.469,-0.42,-0.62,0.66,-0.1
"ClusIPW",0.058,0.443,-0.29,0.94,-0.1,-0.14
"addIPW",0.166,0.491,0.36,0.12,0.16,-0.91
"Oracle",0.196,0.277,0,-0.16,0.08,-0.98
