"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.114,0.472,0.27,-0.53,0.04,-0.8
"ClusIPW",0.076,0.43,-0.06,0.6,0.24,-0.76
"addIPW",0.108,0.524,0.44,-0.39,0.08,-0.81
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
