"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.089,0.527,0.49,-0.63,-0.58,-0.16
"ClusIPW",0.121,0.206,-0.68,0.43,-0.29,-0.52
"addIPW",0.199,0.501,0.45,0,0,-0.89
"Oracle",0.206,0.278,0,-0.09,0.08,-0.99
