"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.09,0.503,-0.19,-0.92,0.31,0.12
"ClusIPW",0.073,0.383,-0.45,0.8,-0.23,-0.33
"addIPW",0.199,0.503,0.45,0,0,-0.89
"Oracle",0.196,0.497,0,0,0.08,-1
