"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.019,1,1,0,0,0
"ClusIPW",0.081,0.354,-0.48,0.73,-0.31,-0.38
"addIPW",0.18,0.31,0.45,-0.02,-0.74,-0.49
"Oracle",0.196,0.281,0,-0.16,0.08,-0.98
