"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.067,0.491,-0.45,-0.5,0.1,0.74
"ClusIPW",0.16,0,-0.69,-0.07,-0.06,-0.72
"addIPW",0.197,0.499,0.45,0,0,-0.89
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
