"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.076,0.492,-0.49,-0.55,0.38,0.56
"ClusIPW",0.062,0.428,-0.31,0.9,-0.16,-0.26
"addIPW",0.198,0.5,0.45,0,0,-0.89
"Oracle",0.206,0.273,0,-0.11,0.08,-0.99
