"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.075,0.545,-0.38,-0.29,0.87,0.1
"ClusIPW",0.105,0.33,-0.68,-0.67,-0.27,-0.14
"addIPW",0.126,0.319,-0.48,0.03,0.85,-0.2
"Oracle",0.198,0.283,0,-0.16,0.08,-0.98
