"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.082,0.477,-0.52,-0.61,0.35,0.49
"ClusIPW",0.056,0.503,0.16,0.86,0.16,-0.46
"addIPW",0.172,0.478,0.4,0.12,0.02,-0.91
"Oracle",0.197,0.278,0,-0.16,0.08,-0.98
