"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.091,0.486,-0.05,-0.97,-0.21,0.15
"ClusIPW",0.062,0.439,-0.22,0.9,-0.04,-0.37
"addIPW",0.117,0.412,-0.34,0.09,0.86,-0.37
"Oracle",0.199,0.281,0,-0.16,0.08,-0.98
