"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.086,0.445,-0.63,-0.44,0.57,0.31
"ClusIPW",0.067,0.41,-0.34,0.87,-0.19,-0.31
"addIPW",0.159,0,-1,0,0,0
"Oracle",0.196,0.281,0,-0.16,0.08,-0.98
