"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.076,0.501,0.09,-0.63,-0.64,0.44
"ClusIPW",0.141,0.105,-0.8,0.3,-0.32,-0.41
"addIPW",0.104,0.218,-0.86,-0.24,0.43,0.15
"Oracle",0.197,0.282,0,-0.16,0.08,-0.98
