"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.073,0.553,0.17,-0.85,-0.12,0.48
"ClusIPW",0.109,0.459,0.16,-0.69,-0.06,-0.7
"addIPW",0.149,0.46,0.45,-0.17,-0.18,-0.86
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
