"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.079,0.506,-0.47,-0.49,0.64,0.36
"ClusIPW",0.063,0.422,-0.35,0.9,-0.2,-0.17
"addIPW",0.164,0.178,0.23,-0.1,-0.85,-0.46
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
