"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.064,0.579,-0.31,-0.44,0.75,0.38
"ClusIPW",0.049,0.524,0.11,0.97,0.2,-0.05
"addIPW",0.096,0.492,-0.37,-0.17,0.9,-0.18
"Oracle",0.204,0.243,-0.05,-0.11,0.08,-0.99
