"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.028,0.688,-0.39,-0.11,0.78,0.47
"ClusIPW",0.052,0.49,-0.14,0.94,0.27,-0.16
"addIPW",0.076,0.57,-0.33,0.01,0.93,-0.14
"Oracle",0.199,0.283,0,-0.16,0.08,-0.98
