"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.07,0.541,-0.14,-0.74,0.09,0.66
"ClusIPW",0.074,0.384,-0.23,0.74,-0.32,-0.54
"addIPW",0.16,0.273,0.33,-0.13,-0.75,-0.55
"Oracle",0.198,0.283,0,-0.16,0.08,-0.98
