"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.094,0.461,-0.54,-0.52,0.65,0.12
"ClusIPW",0.068,0.4,-0.43,0.85,-0.24,-0.19
"addIPW",0.16,0,-1,0,0,0
"Oracle",0.198,0.279,0,-0.16,0.08,-0.98
