"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.086,0.507,0.1,-0.89,-0.36,0.26
"ClusIPW",0.06,0.437,-0.28,0.93,-0.1,-0.22
"addIPW",0.158,0,-1,0,0,0
"Oracle",0.197,0.278,0,-0.16,0.08,-0.98
