"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.118,0.409,0.08,-0.59,-0.23,-0.77
"ClusIPW",0.057,0.491,0.05,0.87,0.22,-0.43
"addIPW",0.198,0.499,0.45,0,0,-0.89
"Oracle",0.197,0.278,0,-0.16,0.08,-0.98
