"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.082,0.54,-0.21,-0.66,0.72,0.1
"ClusIPW",0.067,0.405,-0.4,0.86,-0.21,-0.24
"addIPW",0.115,0.23,0.25,0.1,-0.94,-0.19
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
