"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.078,0.524,-0.23,-0.79,0.2,0.54
"ClusIPW",0.14,0.145,-0.64,0.33,-0.27,-0.64
"addIPW",0.099,0.365,-0.6,-0.16,0.79,0.03
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
