"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.09,0.474,-0.35,-0.88,0.13,0.29
"ClusIPW",0.144,0.121,-0.57,0.3,-0.51,-0.58
"addIPW",0.101,0.261,-0.86,-0.46,-0.18,0.12
"Oracle",0.198,0.282,0,-0.16,0.08,-0.98
