"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.094,0.517,0.12,-0.87,0.35,-0.32
"ClusIPW",0.145,0.11,-0.7,0.29,-0.25,-0.61
"addIPW",0.199,0.501,0.45,0,0,-0.89
"Oracle",0.198,0.278,0,-0.16,0.08,-0.98
