"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.085,0.473,0.07,-0.62,-0.72,0.31
"ClusIPW",0.068,0.407,-0.4,0.86,-0.17,-0.28
"addIPW",0.085,0.354,0.25,0.29,-0.86,-0.33
"Oracle",0.198,0.279,0,-0.16,0.08,-0.98
