"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.079,0.546,-0.33,-0.4,0.85,0.08
"ClusIPW",0.079,0.362,-0.52,0.76,-0.21,-0.34
"addIPW",0.158,0,-1,0,0,0
"Oracle",0.198,0.277,0,-0.16,0.08,-0.98
