"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.137,0.328,0.3,-0.23,-0.76,-0.53
"ClusIPW",0.068,0.405,-0.35,0.86,-0.22,-0.31
"addIPW",0.199,0.5,0.45,0,0,-0.89
"Oracle",0.198,0.283,0,-0.16,0.08,-0.98
