"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.02,1,1,0,0,0
"ClusIPW",0.069,0.4,-0.44,0.85,-0.21,-0.2
"addIPW",0.049,0.423,-0.64,0.38,0.15,0.65
"Oracle",0.197,0.278,0,-0.16,0.08,-0.98
