"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.103,0.498,0.12,-0.76,0.29,-0.57
"ClusIPW",0.064,0.417,-0.32,0.87,-0.09,-0.36
"addIPW",0.199,0.498,0.45,0,0,-0.89
"Oracle",0.199,0.259,-0.05,-0.16,0.08,-0.98
