"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.114,0.352,-0.43,-0.7,-0.27,-0.5
"ClusIPW",0.046,0.742,0.64,-0.48,0.6,0
"addIPW",0.135,0.353,0.02,-0.43,-0.2,-0.88
"Oracle",0.197,0.28,0,-0.16,0.08,-0.98
