"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.199,0.501,0.45,0,0,-0.89
"ClusIPW",0.067,0.4,-0.41,0.85,-0.19,-0.28
"addIPW",0.096,0.384,-0.3,0.32,0.63,-0.64
"Oracle",0.197,0.283,0,-0.16,0.08,-0.98
