"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.058,0.584,-0.41,-0.14,0.89,0.14
"ClusIPW",0.055,0.461,-0.29,0.96,0,0.02
"addIPW",0.102,0.475,-0.32,0.08,0.89,-0.3
"Oracle",0.199,0.282,0,-0.16,0.08,-0.98
