"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.069,0.559,-0.19,-0.67,0.46,0.55
"ClusIPW",0.062,0.424,-0.33,0.9,-0.17,-0.24
"addIPW",0.078,0.324,0.12,0.24,-0.96,0.01
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
