"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.094,0.502,-0.2,-0.87,0.45,-0.02
"ClusIPW",0.06,0.438,-0.32,0.93,-0.14,-0.14
"addIPW",0.091,0.405,-0.35,0.28,0.75,-0.49
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
