"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.379,0.644,0.35,0.52,0.39,-0.63,-0.25
"ClusIPW",0.785,0.535,0.08,0.75,-0.26,0.35,0.49
"addIPW",0.846,0.71,0.48,0.67,-0.07,0.34,0.45
"Oracle",0.912,0.625,0.3,0.6,0.3,0.3,0.6
