"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.173,0.602,0.25,0.34,0.2,-0.81,-0.36
"ClusIPW",0.348,0.614,0.28,0.48,-0.57,0.5,-0.35
"addIPW",0.777,0.794,0.64,0.34,-0.13,0.29,0.62
"Oracle",0.911,0.626,0.3,0.6,0.3,0.3,0.6
