"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.52,0.692,0.45,0.8,0.01,-0.32,-0.23
"ClusIPW",0.752,0.367,-0.32,0.77,0.19,0.34,0.39
"addIPW",0.764,0.44,-0.15,0.82,0.32,-0.1,0.44
"Oracle",0.912,0.624,0.3,0.6,0.3,0.3,0.6
