"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.295,0.582,0.2,0.64,0.08,-0.63,-0.38
"ClusIPW",0.819,0.447,-0.13,0.57,0.24,0.58,0.52
"addIPW",0.892,0.578,0.19,0.59,0.36,0.11,0.68
"Oracle",0.908,0.623,0.3,0.6,0.3,0.3,0.6
