"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.321,0.523,0.05,0.66,0.22,-0.66,-0.28
"ClusIPW",0.686,0.339,-0.38,0.71,-0.03,0.02,0.59
"addIPW",0.886,0.607,0.26,0.41,0.39,0.19,0.76
"Oracle",0.904,0.623,0.3,0.6,0.3,0.3,0.6
