"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.36,0.544,0.11,0.63,0.21,-0.71,-0.17
"ClusIPW",0.517,0.681,0.43,0.57,0,0.57,-0.41
"addIPW",0.825,0.475,-0.06,0.63,0.12,0.06,0.77
"Oracle",0.916,0.624,0.3,0.6,0.3,0.3,0.6
