"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.309,0.721,0.51,0.42,0.34,-0.49,-0.46
"ClusIPW",0.558,0.482,-0.04,0.01,-0.42,0.21,0.88
"addIPW",0.887,0.674,0.41,0.54,0.34,0.09,0.64
"Oracle",0.911,0.622,0.3,0.6,0.3,0.3,0.6
