"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.483,0.684,0.43,0.57,0.46,-0.47,-0.23
"ClusIPW",0.662,0.292,-0.48,0.47,0.14,0.5,0.54
"addIPW",0.768,0.558,0.14,0.53,0.61,0.56,0.1
"Oracle",0.91,0.624,0.3,0.6,0.3,0.3,0.6
