"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.353,0.663,0.38,0.61,0.16,-0.58,-0.35
"ClusIPW",0.621,0.426,-0.18,0.95,-0.12,0.23,0.03
"addIPW",0.742,0.497,-0.01,0.44,-0.29,0.47,0.71
"Oracle",0.904,0.622,0.3,0.6,0.3,0.3,0.6
