"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.345,0.704,0.47,0.56,0.15,-0.55,-0.38
"ClusIPW",0.692,0.692,0.45,0.45,-0.45,0.45,0.42
"addIPW",0.896,0.607,0.27,0.66,0.39,0.34,0.47
"Oracle",0.91,0.625,0.3,0.6,0.3,0.3,0.6
