"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.445,0.607,0.26,0.68,0.36,-0.53,-0.25
"ClusIPW",0.724,0.473,-0.07,0.53,0.51,0.66,0.11
"addIPW",0.886,0.563,0.16,0.67,0.34,0.45,0.46
"Oracle",0.912,0.625,0.3,0.6,0.3,0.3,0.6
