"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.402,0.656,0.37,0.61,0.28,-0.56,-0.31
"ClusIPW",0.896,0.597,0.23,0.53,0.31,0.53,0.53
"addIPW",0.875,0.748,0.55,0.62,0.25,0.23,0.44
"Oracle",0.916,0.626,0.3,0.6,0.3,0.3,0.6
