"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.235,0.648,0.36,0.39,0.28,-0.69,-0.41
"ClusIPW",0.822,0.656,0.37,0.28,0.7,0.24,0.49
"addIPW",0.637,0.827,0.68,0.01,0.65,0.3,0.14
"Oracle",0.912,0.623,0.3,0.6,0.3,0.3,0.6
