"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.497,0.507,0.01,0.75,0.2,-0.63,0.07
"ClusIPW",0.486,0.328,-0.41,0.9,-0.07,-0.11,0
"addIPW",0.657,0.632,0.32,0.23,-0.34,-0.13,0.85
"Oracle",0.914,0.628,0.3,0.6,0.3,0.3,0.6
