"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.454,0.572,0.18,0.76,0.21,-0.57,-0.17
"ClusIPW",0.681,0.379,-0.3,0.62,-0.03,0.66,0.31
"addIPW",0.878,0.609,0.27,0.4,0.27,0.48,0.68
"Oracle",0.912,0.622,0.3,0.6,0.3,0.3,0.6
